PCON24CD,First party,Electorate,Valid votes,Invalid votes,PCON24NM,Other tenure,Owned outright,Owned with a mortgage or loan,Private rented,Social rented,value
E14001603,LD,79918,48952,109,Yeovil,1.2,39.2,26.9,17.5,15.1,0.599
N05000001,DUP,72917,42706,184,Belfast East,2.5,28.3,30.8,18.5,19.9,0.199
N05000005,DUP,73302,39675,142,East Antrim,2.7,39.1,32.1,14.9,11.2,0.199
N05000006,DUP,75707,41277,158,East Londonderry,3.1,38.7,26.5,18.4,13.3,0.199
N05000016,DUP,74525,38909,135,Strangford,3.1,39.5,31.3,13.3,12.9,0.201
N05000017,DUP,81249,47358,241,Upper Bann,3.3,32.1,31.5,20.8,12.3,0.2
N05000002,SF,74240,40452,293,Belfast North,3.1,26.1,26.2,16.9,27.7,0.9
N05000004,SF,75346,39743,256,Belfast West,3.8,22.4,26.3,12.5,34.9,0.901
N05000007,SF,77828,51076,260,Fermanagh and South Tyrone,3.4,41.6,26.3,18.7,10.0,0.899
N05000010,SF,74000,45445,246,Mid Ulster,3.5,39.4,30.9,17.7,8.6,0.901
N05000011,SF,78244,45942,294,Newry and Armagh,3.1,37.3,29.1,18.8,11.7,0.9
N05000015,SF,76248,45243,228,South Down,3.2,39.4,30.7,17.4,9.3,0.902
N05000018,SF,74269,43695,262,West Tyrone,3.4,39.8,26.3,18.9,11.6,0.899
N05000003,SDLP,74749,43491,266,Belfast South and Mid Down,2.7,29.6,26.9,26.8,14.0,
N05000008,SDLP,73496,38358,310,Foyle,2.7,26.1,25.4,18.3,27.5,
E14001098,Ind,76350,37476,211,Birmingham Perry Barr,0.8,28.0,24.2,24.0,23.1,0.4
E14001102,Ind,73263,38887,163,Blackburn,0.6,33.0,24.0,20.1,22.3,0.398
E14001196,Ind,71685,38070,131,Dewsbury and Batley,0.8,32.5,27.6,19.4,19.7,0.402
E14001305,Ind,72852,49006,189,Islington North,1.8,12.1,17.1,31.3,37.7,0.402
E14001327,Ind,70867,41837,158,Leicester South,0.5,24.3,18.3,34.8,22.2,0.4
N05000013,Ind,73885,43296,168,North Down,2.9,38.6,32.9,13.8,11.8,0.401
E14001130,Green,74786,52363,209,Brighton Pavilion,1.0,24.3,27.6,35.7,11.3,0.3
E14001131,Green,62735,43365,165,Bristol Central,1.1,19.1,20.8,47.0,12.0,0.302
E14001395,Green,72797,50362,145,North Herefordshire,1.3,46.1,23.1,18.2,11.2,0.299
E14001569,Green,73056,49072,131,Waveney Valley,1.0,46.7,25.2,14.5,12.6,0.299
W07000087,PC,74005,45604,187,Caerfyrddin,0.4,46.6,25.1,15.1,12.9,0.699
W07000093,PC,75690,46302,155,Ceredigion Preseli,0.3,49.2,20.7,19.3,10.4,0.699
W07000096,PC,73040,40395,215,Dwyfor Meirionnydd,0.5,46.5,21.7,15.8,15.4,0.701
W07000112,PC,53141,32628,79,Ynys Môn,0.6,44.6,23.6,15.6,15.6,0.699
E14001170,Spk,74801,33964,1198,Chorley,0.7,35.4,35.2,14.4,14.3,
N05000009,APNI,82201,49081,162,Lagan Valley,3.3,36.7,35.6,11.9,12.6,
N05000012,TUV,74697,41185,176,North Antrim,3.5,39.1,27.2,16.6,13.6,
N05000014,UUP,77058,42908,181,South Antrim,3.2,35.5,37.3,13.8,10.1,
